Signatory Progress Summary,,,
First Signed Up To IATI,February 2011,,
Frequency of Publication,Six Monthly,,
First Published Activity Files,November 2011,,
First Published Organisation File,November 2011,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,IP vs Actual Comments (WR)
,,,
Timeliness of Transaction Data*,Annually,Six Monthly,
,,,
Frequency of Updates,,Six Monthly,
,,,
Activity Forward Planning*,,Not preset in IP (Calculated Field),
,,,
Transaction Alignment with recipient financial year*,Annually,Not present in IP,
,,,
Budget Alignment with recipient financial year*,not known,Not present in IP,
,,,
Unique Identifer,50,Fully compliant July 13,
,,,
Use of Recipient Language*,0,Partially compliant April 2012,
,,,
Start Date,50,Fully compliant April 2012,
,,,
End Date,50,Fully compliant April 2012,
,,,
Implementing Organisation,0,Fully compliant April 2012,
,,,
Geography,0,Fully compliant April 2012,
,,,
CRS Sector,0,Fully compliant April 2012,
,,,
Commitments*,50,Fully compliant April 2012,
,,,
Disbursements & Expenditure*,50,Fully compliant April 2012,
,,,
Traceable Income & Disbursements*,0,Not present in IP,
,,,
Activity Documents*,100,Fully compliant April 2012,"Activity budgets, planned disbursements, activity documents & website and results fully compliant but data on external web sites not in file (although this is what imp plan says)"
,,,
Text of Conditions,0,Fully compliant April 2012,
,,,
Results,0,Fully compliant April 2012,
,,,
,,,
Published Data Cross Checked Against Common Standard Implementation Schedule,,,
Organisation File ,,,Agency budget data fully described as compliant but notes say stored on website not in org file?
