Signatory Progress Summary,,
First Signed Up To IATI,September 2008,
Frequency of Publication,Quarterly,
First Published Activity Files,December 2011,
First Published Organisation File,September 2011,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,Beyond one year,Available June 2014
,,
Frequency of Updates,Annually,Quarterly from March 2014
,,
Transaction Alignment with recipient financial year,Annually,Not requested in Implementation Schedule
,,
Budget Alignment with recipient financial year,Not Known,Not requested in Implementation Schedule
,,
Unique Identifer,100,Fully Compliant Oct 2011
,,
Use of Recipient Language,0,Under review
,,
Start Date,100,Fully Compliant Oct 2011
,,
End Date,100,Fully Compliant Oct 2011
,,
Implementing Organisation,0,Available June 2014
,,
Geography,0,Country level information only
,,
CRS Sector,0,Available from June 2014
,,
Commitments,0,No Status Selected
,,
Disbursements & Expenditure,97,No Status Selected
,,
Traceable Income & Disbursements,0,Not requested in Implementation Schedule
,,
Activity Documents,0,No Status Selected
,,
Text of Conditions,0,No Status Selected
,,
Results,0,No Status Selected
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,CRS Sector - Plan to specify agency specific codes from April 2013 but none yet present
