Signatory Progress Summary,,
First Signed Up To IATI,12-Nov,
Frequency of Publication,Planned To Be Quarterly,
First Published Activity Files,Planned For 1st Trimester 2014,
First Published Organisation File,Planned For 1st Trimester 2014,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,,Monthly
,,
Frequency of Updates,,Quarterly by July 2014
,,
Transaction Alignment with recipient financial year,,Not present in Implementation Schedule
,,
Budget Alignment with recipient financial year,,Not present in Implementation Schedule
,,
Unique Identifer,,Fully Compliant (no date specified)
,,
Use of Recipient Language,,Fully Compliant (no date specified)
,,
Start Date,,Fully Compliant (no date specified)
,,
End Date,,Fully Compliant (no date specified)
,,
Implementing Organisation,,Fully Compliant (no date specified)
,,
Geography,,Fully Compliant (no date specified)
,,
CRS Sector,,Fully Compliant (no date specified)
,,
Commitments,,Fully Compliant (no date specified)
,,
Disbursements & Expenditure,,Fully Compliant (no date specified)
,,
Traceable Income & Disbursements,,Not present in Implementation Schedule
,,
Activity Documents,,Future Publication 2015
,,
Text of Conditions,,Future Publication 2015
,,
Results,,Future Publication 2015
