Signatory Progress Summary,,
First Joined To IATI,September 2008,
Frequency of Publication,Quarterly,
First Published Activity Files,March 2012,
First Published Organisation File,March 2012,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,Can not calculate,Not Stated
,,
Frequency of Updates,,Quarterly
,,
Transaction Alignment with recipient financial year,Annually,Not present in Implementation Schedule
,,
Budget Alignment with recipient financial year,Not Known,Not present in Implementation Schedule
,,
Unique Identifer,100,Fully Compliant December 2012
,,
Use of Recipient Language,0,Not publishing now
,,
Start Date,100,Fully Compliant December 2012
,,
End Date,100,Fully Compliant December 2012
,,
Implementing Organisation,0,Fully Compliant December 2012
,,
Geography,0,Partially Compliant December 2012
,,
CRS Sector,0,Fully Compliant December 2012
,,
Commitments,100,Partially Compliant December 2012
,,
Disbursements & Expenditure,100,Partially Compliant December 2012
,,
Traceable Income & Disbursements,0,Not present in Implementation Schedule
,,
Activity Documents,0,Future Publication December 2015
,,
Text of Conditions,0,Not Publishing Now
,,
Results,0,Not Publishing Now
,,
,,
'Published Data Cross Checked Against Common Standard Implementation Schedule,,
Activity File,,Fully compliant for reimbursement transactions but no reimbursement transactions currently present
,,Fully compliant for loan repayment transactions but no loan repayment transactions currently present
,,Geography - States partially compliant for sub-national geographic location (ie where it is available) but no location data present at all in file?
,,Disbursements & Expenditures - Partially compliant for Disbursement and Expenditure transactions but no Expenditure transactions present (disbursement transactions are present)
