Signatory Progress Summary,,,DFID Notes
First Signed Up To IATI,Sep-08,,
Frequency of Publication,Monthly,,
First Published Activity Files,Jan-11,,
First Published Organisation File,Jan-11,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,
,,,
Timeliness of Transaction Data,Monthly,Monthly,
,,,
Frequency of Updates,Monthly,Monthly,
,,,
Transaction Alignment with recipient financial year,Monthly,Not present in Implementation Schedule,
,,,
Budget Alignment with recipient financial year,Annual,Not present in Implementation Schedule,
,,,
Unique Identifer,100,Fully Compliant Jan 2011,
,,,
Use of Recipient Language,0,Partially Compliant Jan 2011,Intervention summary documents are published in recipient languages
,,,
Start Date,100,Fully Compliant Jan 2011,
,,,
End Date,99.78,Fully Compliant Jan 2011,
,,,
Implementing Organisation,91.48,Partially Compliant Jan 2011,
,,,
Geography,2.44,Partially Compliant Apr 2014,Sub-national locations published for NP and BD
,,,
CRS Sector,99.92,Fully Compliant Jan 2011,
,,,
Commitments,97.42,Fully Compliant Jan 2011,
,,,
Disbursements & Expenditure,86.08,Fully Compliant Jan 2011,
,,,
Traceable Income & Disbursements,100,Not present in Implementation Schedule,
,,,
Activity Documents,54.34,Fully Compliant Jan 2011,Not sure why this zero - we publish a wide range of documents
,,,
Text of Conditions,100,Fully Compliant Jan 2011,All activities have <conditions> tag
,,,
Results,0,Not Published,
