Signatory Progress Summary,,,
First Signed Up To IATI,September 2008,,
Frequency of Publication,Quarterly,,
First Published Activity Files,July 2011,,
First Published Organisation File,July 2011,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,IP vs Actual Comments (WR)
,,,
Timeliness of Transaction Data*,Six-monthly,Monthly,
,,,
Frequency of Updates,,Quarterly,
,,,
Activity Forward Planning*,,Not present in Implementation Schedule,
,,,
Transaction Alignment with recipient financial year*,,Not present in Implementation Schedule,
,,,
Budget Alignment with recipient financial year*,,Not present in Implementation Schedule,
,,,
Unique Identifer,100,Fully Compliant Jul 11,
,,,
Use of Recipient Language*,0,Not Publishing Yet,
,,,
Start Date,100,Fully Compliant Jul 11,
,,,
End Date,100,Fully Compliant Jul 11,
,,,
Implementing Organisation,100,Fully Compliant Jul 11,
,,,
Geography,0,Future Publication,
,,,
CRS Sector,100,Fully Compliant Jul 11,
,,,
Commitments*,4.35,Not Publishing Yet,
,,,
Disbursements & Expenditure*,100,Fully Compliant Jul 11,
,,,
Traceable Income & Disbursements*,91.23,Not present in Implementation Schedule,
,,,
Activity Documents*,86.96,Fully Compliant Jul 11,
,,,
Text of Conditions,0,Not Publishing Yet,
,,,
Results,0,Not Publishing Yet,
,,,
,,,
Published Data Cross Checked Against Common Standard Implementation Schedule,,,
Organisation File ,,,
Activity File,,,
