Signatory Progress Summary,,
First Signed Up To IATI,,
Frequency of Publication,,
First Published Activity Files,,
First Published Organisation File,,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,Monthly,
,,
Frequency of Updates,Monthly,
,,
Transaction Alignment with recipient financial year,Monthly,
,,
Budget Alignment with recipient financial year,>370,
,,
Unique Identifer,100,
,,
Use of Recipient Language,0,
,,
Start Date,91,
,,
End Date,81,
,,
Implementing Organisation,100,
,,
Geography,4,
,,
CRS Sector,100,
,,
Commitments,100,
,,
Disbursements & Expenditure,74,
,,
Traceable Income & Disbursements,0,Not present in Implementation Schedule
,,
Activity Documents,0,
,,
Text of Conditions,0,
,,
Results,0,
