Signatory Progress Summary,,
First Signed Up To IATI,September 2008,
Frequency of Publication,Monthly,
First Published Activity Files,September 2013,
First Published Organisation File,September 2013,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,Monthly,Monthly
,,
Frequency of Updates,Monthly,Monthly
,,
Transaction Alignment with recipient financial year,Monthly,Not requested in Implementation Schedule
,,
Budget Alignment with recipient financial year,Not Known,Not requested in Implementation Schedule
,,
Unique Identifer,100,Fully Compliant Sep 13
,,
Use of Recipient Language,0,Not Applicable
,,
Start Date,87,Partially Compliant Sep 13
,,
End Date,72,Fully Compliant Sep 13
,,
Implementing Organisation,100,Fully Compliant Sep 13
,,
Geography,0,Future Publication Dec 2014
,,
CRS Sector,100,Fully Compliant Sep 13
,,
Commitments,100,Fully Compliant Sep 13
,,
Disbursements & Expenditure,65,Fully Compliant Sep 13
,,
Traceable Income & Disbursements,0,Not requested in Implementation Schedule
,,
Activity Documents,0,Future Publication Dec 2014
,,
Text of Conditions,0,Not publishing now
,,
Results,0,Not publishing now
