Signatory Progress Summary,,
First Signed Up To IATI,,
Frequency of Publication,Quarterly,
First Published Activity Files,September 2013,
First Published Organisation File,September 2013,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,Monthly,Three Monthly
,,
Frequency of Updates,Quarterly,Quarterly
,,
Transaction Alignment with recipient financial year,Monthly,
,,
Budget Alignment with recipient financial year,Not Known,
,,
Unique Identifer,100,
,,
Use of Recipient Language,0,
,,
Start Date,99.49,
,,
End Date,99.87,
,,
Implementing Organisation,92.73,
,,
Geography,0,
,,
CRS Sector,0,
,,
Commitments,7.27,
,,
Disbursements & Expenditure,92.73,
,,
Traceable Income & Disbursements,100,Not present in Implementation Schedule
,,
Activity Documents,0,
,,
Text of Conditions,0,
,,
Results,0,
