Signatory Progress Summary,,
First Signed Up To IATI,November 2011,
Frequency of Publication,Quarterly,
First Published Activity Files,October 2012,
First Published Organisation File,October 2012,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,Quarterly,Monthly
,,
Frequency of Updates,,Quarterly
,,
Transaction Alignment with recipient financial year,Monthly,Not present in Implementation Schedule
,,
Budget Alignment with recipient financial year,Not Known,Not present in Implementation Schedule
,,
Unique Identifer,100,Fully Compliant
,,
Use of Recipient Language,68.54,Partially compliant
,,
Start Date,100,Fully Compliant
,,
End Date,100,Fully Compliant
,,
Implementing Organisation,100,Partially compliant
,,
Geography,0,Partially compliant
,,
CRS Sector,100,Fully Compliant
,,
Commitments,100,Fully Compliant
,,
Disbursements & Expenditure,0,Fully compliant by December 2014
,,
Traceable Income & Disbursements,0,Not present in Implementation Schedule
,,
Activity Documents,0,Fully compliant by December 2014
,,
Text of Conditions,0,Fully Compliant
,,
Results,55.33,Partially compliant
,,
,,
,,
,,
,,
,,
,,
,,Commitments - IP still say Jan 2013
