Signatory Progress Summary,,
First Signed Up To IATI,September 2008,
Frequency of Publication,Quarterly,
First Published Activity Files,March 2012,
First Published Organisation File,March 2012,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,Quarterly,Quarterly
,,
Frequency of Updates,Quarterly,Quarterly
,,
Transaction Alignment with recipient financial year,Annually,Not requested in Implementation Schedule
,,
Budget Alignment with recipient financial year,Annual,Not requested in Implementation Schedule
,,
Unique Identifer,99,Fully Compliant Mar 12
,,
Use of Recipient Language,0,Not Published
,,
Start Date,99,Fully Compliant Mar 12
,,
End Date,99,Fully Compliant Mar 12
,,
Implementing Organisation,99,Fully Compliant Jul 13
,,
Geography,99,Fully Compliant
,,
CRS Sector,99,Fully Compliant Mar 12
,,
Commitments,91,Fully Compliant Mar 12
,,
Disbursements & Expenditure,87,Fully Compliant Mar 12
,,
Traceable Income & Disbursements,0,Not requested in Implementation Schedule
,,
Activity Documents,100,Fully Compliant Jul 13
,,
Text of Conditions,99,Fully Compliant Jul 13
,,
Results,100,Future Publication
