Signatory Progress Summary,,,
First Signed Up To IATI,Sep-08,,
Frequency of Publication,Every 6 months,,
First Published Activity Files,Mar-13,,
First Published Organisation File,Mar-13,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,Comment
,,,
Timeliness of Transaction Data,Can not calculate,3 months in arrears,
,,,
Frequency of Updates,Six-Monthly,Every 6 months,"every 6 months the whole dataset will be overwritten, within 6 months minor updates that only refer to specific data fields or data set - date of change is reflected in date of each dataset"
,,,
Transaction Alignment with recipient financial year,Annually,Not present in Implementation Schedule,Only alignment with calendar year / donor financial year
,,,
Budget Alignment with recipient financial year,Not Known,Not present in Implementation Schedule,"not applicable, as budget is not provided, only total commitment"
,,,
Unique Identifer,100,Fully compliant since March 2013,
,,,
Use of Recipient Language,40,Partially compliant. French/Spanish in few cases,
,,,
Start Date,100,Fully compliant since March 2013,
,,,
End Date,68,Partially compliant. ,End actual dates only
,,,
Implementing Organisation,87,Partially complaint.,
,,,
Geography,0,Not Publishing,
,,,
CRS Sector,100,Fully compliant since March 2013,
,,,
Commitments,100,Fully compliant since March 2013,
,,,
Disbursements & Expenditure,100,Fully compliant since March 2013,
,,,
Traceable Income & Disbursements,0,Not present in Implementation Schedule,
,,,
Activity Documents,0,Future Publication,
,,,
Text of Conditions,0,Future Publication,
,,,
Results,0,Future Publication,
