Signatory Progress Summary,,,
First Signed Up To IATI,September 2008,,
Frequency of Publication,Quarterly,,
First Published Activity Files,March 2011,,
First Published Organisation File,March 2011,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,IP vs Actual Comments (WR)
,,,
Timeliness of Transaction Data*,Monthly,Monthly,
,,,
Frequency of Updates,,Quarterly,
,,,
Activity Forward Planning*,0,Not present in Implementation Schedule,
,,,
Transaction Alignment with recipient financial year*,,Not present in Implementation Schedule,
,,,
Budget Alignment with recipient financial year*,,Not present in Implementation Schedule,
,,,
Unique Identifer,99.62,Fully Compliant March 2011,
,,,
Use of Recipient Language*,0,Not Publishing Now,
,,,
Start Date,99.62,Fully Compliant March 2011,Should be partially Compliant as only start-planned (no start-actual)
,,,
End Date,99.62,Fully Compliant March 2011,Should be partially Compliant as only end-planned (no end-actual)
,,,
Implementing Organisation,99.62,Fully Compliant March 2011,
,,,
Geography,0,Not Publishing Now,
,,,
CRS Sector,0,Not Publishing Now,
,,,
Commitments*,99.62,Fully Compliant March 2011,
,,,
Disbursements & Expenditure*,98.28,Future Publication Dec 13,
,,,
Traceable Income & Disbursements*,100,Not present in Implementation Schedule,
,,,
Activity Documents*,95.41,,
,,,
Text of Conditions,0,,
,,,
Results,0,,
,,,
,,,
Other Issues,,,
Organisation File ,,No issues found,
Activity File,,Other Activity Identifier stated as Future Publication Mar 13 but some instances found,
,,Participating Org Accountable stated as Future Publication Apr 13 but already present,
,,Collaboration Type stated as Future Publication Apr 13 but already present,
,,Financial Transaction (Disbursement & Expenditure) stated as Future Publication Dec 13 but already present,
