Signatory Progress Summary,,
First Signed Up To IATI,November 2011,
Frequency of Publication,Quarterly,
First Published Activity Files,March 2013,
First Published Organisation File,August 2013,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data*,Six-monthly,Quarterly
,,
Frequency of Updates,,Quarterly
,,
Transaction Alignment with recipient financial year*,Monthly,Not present in Implementation Schedule
,,
Budget Alignment with recipient financial year*,Not Known,Not present in Implementation Schedule
,,
Unique Identifer,100,Fully compliant March 2013
,,
Use of Recipient Language*,82.33,Future publication
,,
Start Date,85.39,Fully compliant March 2013
,,
End Date,92.47,Fully compliant March 2013
,,
Implementing Organisation,99.89,Fully compliant March 2013
,,
Geography,0,Future publication
,,
CRS Sector,92.25,Fully compliant March 2013
,,
Commitments*,99.78,Fully compliant March 2013
,,
Disbursements & Expenditure*,85.28,Fully compliant March 2013
,,
Traceable Income & Disbursements*,0,Not present in Implementation Schedule
,,
Activity Documents*,100,Fully compliant March 2013
,,
Text of Conditions,100,Fully compliant March 2013
,,
Results,0,Future publication
