Signatory Progress Summary,,
First Signed Up To IATI,May 2012,
Frequency of Publication,Annually,
First Published Activity Files,Not Published Yet,
First Published Organisation File,Not Published Yet,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,,Annually
,,
Frequency of Updates,,Annually
,,
Transaction Alignment with recipient financial year,,Not present in Implementation Schedule
,,
Budget Alignment with recipient financial year,,Not present in Implementation Schedule
,,
Unique Identifer,,Will be Fully Compliant
,,
Use of Recipient Language,,Not Applicable
,,
Start Date,,Will be Fully Compliant
,,
End Date,,Will be Fully Compliant
,,
Implementing Organisation,,Not Applicable
,,
Geography,,Not Applicable
,,
CRS Sector,,Will be Fully Compliant
,,
Commitments,,Will be Fully Compliant
,,
Disbursements & Expenditure,,Will be Fully Compliant
,,
Traceable Income & Disbursements,,Not present in Implementation Schedule
,,
Activity Documents,,Will be Fully Compliant
,,
Text of Conditions,,Not Applicable
,,
Results,,Not Applicable
