Signatory Progress Summary,,
First Signed Up To IATI,September 2008,
Frequency of Publication,Annually,
First Published Activity Files,Not Published Yet,
First Published Organisation File,July 2013,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,,Annually
,,
Frequency of Updates,,Annually
,,
Transaction Alignment with recipient financial year,,Not requested in Implementation Schedule
,,
Budget Alignment with recipient financial year,,Not requested in Implementation Schedule
,,
Unique Identifer,,Future Publication 2014
,,
Use of Recipient Language,,Not Applicable
,,
Start Date,,Future Publication 2015
,,
End Date,,Future Publication 2015
,,
Implementing Organisation,,Future Publication 2015
,,
Geography,,Not Applicable
,,
CRS Sector,,Future Publication
,,
Commitments,,Future Publication 2015
,,
Disbursements & Expenditure,,Future Publication
,,
Traceable Income & Disbursements,,Not requested in Implementation Schedule
,,
Activity Documents,,Partially Compliant
,,
Text of Conditions,,Not Publishing Now
,,
Results,,Future Publication
