Signatory Progress Summary,,,
First Signed Up To IATI,November 2008,,
Frequency of Publication,Annually,,
First Published Activity Files,November 2011,,
First Published Organisation File,Not Yet Published,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,
,,,
Timeliness of Transaction Data,Beyond one year,Quarterly,
,,,
Frequency of Updates,Annually,Annually,
,,,
Transaction Alignment with recipient financial year,Monthly,Not present in Implementation Schedule,
,,,
Budget Alignment with recipient financial year,Not Known,Not present in Implementation Schedule,
,,,
Unique Identifer,100,Fully Compliant,
,,,
Use of Recipient Language,49,Partially Compliant,
,,,
Start Date,100,Fully Compliant,
,,,
End Date,100,Fully Compliant,
,,,
Implementing Organisation,0,Fully Compliant,Present but with currently with a lower case 'i' instead of upper case
,,,
Geography,66,Fully Compliant,
,,,
CRS Sector,100,Fully Compliant,
,,,
Commitments,91,Fully Compliant,
,,,
Disbursements & Expenditure,95,Fully Compliant,
,,,
Traceable Income & Disbursements,46,Not present in Implementation Schedule,
,,,
Activity Documents,0,Not Publishing Now,
,,,
Text of Conditions,0,Unable To Publish,
,,,
Results,45,Unable To Publish,The element is present in some older data but generally is unable to publish
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,End Date - No instances of 'end-actual' found?,
