Signatory Progress Summary,,,
First Signed Up To IATI,Sep-08,,
Frequency of Publication,Monthly,,
First Published Activity Files,Oct-11,,
First Published Organisation File,Oct-11,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,
,,,
Timeliness of Transaction Data,Monthly,Monthly,
,,,
Frequency of Updates,Monthly,Monthly,
,,,
Transaction Alignment with recipient financial year,Monthly,Monthly,Transactions are reported on a date basis and can therefore always be aligned with recipient financial year
,,,
Budget Alignment with recipient financial year,Annual,No alignment with recipient financial year,
,,,
Unique Identifer,100,Fully Compliant October 2011,
,,,
Use of Recipient Language,0,Not Publishing Now,
,,,
Start Date,100,Fully Compliant October 2011,
,,,
End Date,100,Fully Compliant October 2011,
,,,
Implementing Organisation,100,Fully Compliant October 2011,
,,,
Geography,4.23,Partially Compliant,"Since august 2013, started publishing geolocations for activities with geographical target areas"
,,,
CRS Sector,100,Fully Compliant October 2011,
,,,
Commitments,99.74,Fully Compliant October 2011,
,,,
Disbursements & Expenditure,97.7,Fully Compliant October 2011,
,,,
Traceable Income & Disbursements,100,Fully compliant since October 2011,
,,,
Activity Documents,0,To be published in the summer of 2014,
,,,
Text of Conditions,0,"Not Publishing, because not applicable",
,,,
Results,0,Not Publising yet,
