Signatory Progress Summary,,
First Signed Up To IATI,September 2008,
Frequency of Publication,Six monthly,
First Published Activity Files,May 2012,
First Published Organisation File,May 2012,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data*,Annually,Monthly
,,
Frequency of Updates,,Six monthly
,,
Transaction Alignment with recipient financial year*,Monthly,Not present in Implementation Schedule
,,
Budget Alignment with recipient financial year*,not known,Not present in Implementation Schedule
,,
Unique Identifer,100,Fully Compliant
,,
Use of Recipient Language*,0,Not Publishing Now
,,
Start Date,100,Partially Compliant Late 2013 / Early 2014
,,
End Date,100,Partially Compliant Late 2013 / Early 2014
,,
Implementing Organisation,0,Partially Compliant Late 2013 / Early 2014
,,
Geography,0,Not Publishing Now
,,
CRS Sector,100,Partially Compliant Late 2013 / Early 2014
,,
Commitments*,0,Fully Compliant
,,
Disbursements & Expenditure*,100,Partially Compliant
,,
Traceable Income & Disbursements*,0,Not present in Implementation Schedule
,,
Activity Documents*,0,Not Publishing Now
,,
Text of Conditions,0,Not Applicable
,,
Results,0,Not Publishing Now
