Signatory Progress Summary,,
First Signed Up To IATI,8-Sep,
Frequency of Publication,Quarterly,
First Published Activity Files,Plan to publish in 2014,
First Published Organisation File,Plan to publish in 2014,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,,Quarterly
,,
Frequency of Updates,,Quarterly
,,
Transaction Alignment with recipient financial year,,Not present in Implementation Schedule
,,
Budget Alignment with recipient financial year,,Not present in Implementation Schedule
,,
Unique Identifer,,Fully compliant by 2014
,,
Use of Recipient Language,,Not Publishing Now
,,
Start Date,,Fully compliant by 2014
,,
End Date,,Fully compliant by 2014
,,
Implementing Organisation,,Fully compliant by 2014
,,
Geography,,Not Publishing Now
,,
CRS Sector,,Fully compliant by 2014
,,
Commitments,,Fully compliant by 2014
,,
Disbursements & Expenditure,,Fully compliant by 2014
,,
Traceable Income & Disbursements,,Not present in Implementation Schedule
,,
Activity Documents,,Not Publishing Now
,,
Text of Conditions,,Not Publishing Now
,,
Results,,Not Publishing Now
