Signatory Progress Summary,,,
First Signed Up To IATI,August 2012,,
Frequency of Publication,Real Time,,
First Published Activity Files,December 2012,,
First Published Organisation File,,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,IP vs Actual Comments (WR)
,,,
Timeliness of Transaction Data*,Monthly,Real Time,
,,,
Frequency of Updates,,Real Time,
,,,
Activity Forward Planning*,79,Not present in Implementation Schedule,
,,,
Transaction Alignment with recipient financial year*,Monthly,Not present in Implementation Schedule,
,,,
Budget Alignment with recipient financial year*,annual,Not present in Implementation Schedule,
,,,
Unique Identifer,100,Fully Compliant Oct 12,
,,,
Use of Recipient Language*,0,Fully Compliant Oct 12,
,,,
Start Date,100,Partially Compliant Compliant Oct 12,
,,,
End Date,61.37,Partially Compliant Compliant Oct 12,
,,,
Implementing Organisation,100,Partially Compliant Compliant Oct 12,
,,,
Geography,0,Unable To Publish,
,,,
CRS Sector,100,Fully Compliant Oct 12,
,,,
Commitments*,44.29,Fully Compliant Oct 12,
,,,
Disbursements & Expenditure*,29.92,Fully Compliant Oct 12,
,,,
Traceable Income & Disbursements*,100,Not present in Implementation Schedule,
,,,
Activity Documents*,0,Unable To Publish,
,,,
Text of Conditions,0,Unable To Publish,
,,,
Results,0,Unable To Publish,
,,,
,,,
Published Data Cross Checked Against Common Standard Implementation Schedule,,,
Organisation File ,,,
Activity File,,,
