Signatory Progress Summary,,,
First Signed Up To IATI,November 2013,,
Frequency of Publication,Monthly,,
First Published Activity Files,Nov 2011,,
First Published Organisation File,Nov 2011,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,
,,,
Timeliness of Transaction Data,Quarterly,One month In Arrears,
,,,
Frequency of Updates,Monthly,Monthly,
,,,
Transaction Alignment with recipient financial year,Monthly,Not present in Implementation Schedule,
,,,
Budget Alignment with recipient financial year,Not Known,Not present in Implementation Schedule,
,,,
Unique Identifer,100,Fully Compliant Oct 12,
,,,
Use of Recipient Language,0,Unable To Publish,"We do not have “recipients” as such, although we could provide the description of our activities in languages other than English?"
,,,
Start Date,100,Fully Compliant Oct 12,We use the start date of the last grant period.
,,,
End Date,100,Fully Compliant Oct 12,We use the end date of this financial period.
,,,
Implementing Organisation,100,Fully Compliant Oct 12,
,,,
Geography,33.33,Fully Compliant Jan 14,Listed the locations that we have conducted in-person advocacy over the last 12 months.
,,,
CRS Sector,100,Fully Compliant Oct 12,
,,,
Commitments,0,Unable To Publish,"We don't have commitments per se, because we don't have firm written obligations to recipient countries."
,,,
Disbursements & Expenditure,100,Fully Compliant Oct 12,We are publishing each line item of disbursements and expenditures.
,,,
Traceable Income & Disbursements,0,Not present in Implementation Schedule,
,,,
Activity Documents,100,Fully Compliant Oct 12,
,,,
Text of Conditions,100,Fully Compliant Jan 14,"We don't have any conditions, so this field will always be empty."
,,,
Results,0,Future Publication ,
