Signatory Progress Summary,,
First Signed Up To IATI,June 2011,
Frequency of Publication,Monthly,
First Published Activity Files,November 2011,
First Published Organisation File,November 2011,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,Monthly,Monthly
,,
Frequency of Updates,Monthly,Monthly
,,
Transaction Alignment with recipient financial year,Monthly,Not requested in Implementation Schedule
,,
Budget Alignment with recipient financial year,Not Known,Not requested in Implementation Schedule
,,
Unique Identifer,100,Fully Compliant
,,
Use of Recipient Language,0,Not Applicable
,,
Start Date,100,Fully Compliant
,,
End Date,100,Fully Compliant
,,
Implementing Organisation,100,Fully Compliant
,,
Geography,100,Future Publication
,,
CRS Sector,0,Fully Compliant
,,
Commitments,100,Fully Compliant
,,
Disbursements & Expenditure,100,Fully Compliant
,,
Traceable Income & Disbursements,0,Not requested in Implementation Schedule
,,
Activity Documents,100,Fully Compliant
,,
Text of Conditions,0,Fully Compliant
,,
Results,88,Fully Compliant
