Signatory Progress Summary,,
First Signed Up To IATI,September 2008,
Frequency of Publication,Quarterly,
First Published Activity Files,March 2011,
First Published Organisation File,March 2011,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data*,Monthly,Monthly
,,
Frequency of Updates,,Quarterly
,,
Transaction Alignment with recipient financial year*,Monthly,Not present in Implementation Schedule
,,
Budget Alignment with recipient financial year*,Not Known,Not present in Implementation Schedule
,,
Unique Identifer,99.62,Fully Compliant March 2011
,,
Use of Recipient Language*,0,Not Publishing Now
,,
Start Date,99.62,Fully Compliant March 2011
,,
End Date,99.62,Fully Compliant March 2011
,,
Implementing Organisation,99.62,Fully Compliant March 2011
,,
Geography,0,Not Publishing Now
,,
CRS Sector,0,Not Publishing Now
,,
Commitments*,99.62,Fully Compliant March 2011
,,
Disbursements & Expenditure*,98.38,Future Publication Dec 13
,,
Traceable Income & Disbursements*,100,Not present in Implementation Schedule
,,
Activity Documents*,95.32,Not Publishing Now
,,
Text of Conditions,0,Not Publishing Now
,,
Results,0,Not Publishing Now
