Signatory Progress Summary,,,
First Signed Up To IATI,September 2008,,
Frequency of Publication,Quarterly,,
First Published Activity Files,May 2012,,
First Published Organisation File,May 2012,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,
,,,
Timeliness of Transaction Data,Six-monthly,Quarterly,
,,,
Frequency of Updates,Six-Monthly,Quarterly,
,,,
Transaction Alignment with recipient financial year,Quarterly,Not requested in Implementation Schedule,
,,,
Budget Alignment with recipient financial year,Not Known,Not requested in Implementation Schedule,
,,,
Unique Identifer,82,Fully Compliant Apr 13,
,,,
Use of Recipient Language,0,Not Applicable,
,,,
Start Date,82,Partially Compliant,
,,,
End Date,82,Partially Compliant,
,,,
Implementing Organisation,36,Partially Compliant,
,,,
Geography,0,Not Publishing yet,
,,,
CRS Sector,82,Not Publishing yet,"Not currently recorded in the 
financial system. Further 
development and data 
mapping work needed 

"
,,,
Commitments,0,Not Publishing yet,
,,,
Disbursements & Expenditure,73,Partially Compliant,
,,,
Traceable Income & Disbursements,0,Not requested in Implementation Schedule,
,,,
Activity Documents,100,Partially Compliant,
,,,
Text of Conditions,0,Not Publishing yet,"Generally, no conditions 
attached. 

"
,,,
Results,0,Not Publishing yet,
