Signatory Progress Summary,,
First Signed Up To IATI,,
Frequency of Publication,,
First Published Activity Files,,
First Published Organisation File,,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,Monthly,
,,
Frequency of Updates,Quarterly,
,,
Transaction Alignment with recipient financial year,Monthly,
,,
Budget Alignment with recipient financial year,>370,
,,
Unique Identifer,63,
,,
Use of Recipient Language,0,
,,
Start Date,63,
,,
End Date,62,
,,
Implementing Organisation,0,
,,
Geography,0,
,,
CRS Sector,63,
,,
Commitments,0,
,,
Disbursements & Expenditure,63,
,,
Traceable Income & Disbursements,1,Not requested in Implementation Schedule
,,
Activity Documents,0,
,,
Text of Conditions,0,
,,
Results,0,
