Signatory Progress Summary,,
First Signed Up To IATI,Dec-11,
Frequency of Publication,Every 3 months,
First Published Activity Files,Sep-12,
First Published Organisation File,Sep-12,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,Quarterly,Every 3 months
,,
Frequency of Updates,Every 3 months,Every 3 months
,,
Transaction Alignment with recipient financial year,Annually,Not present in Implementation Schedule
,,
Budget Alignment with recipient financial year,>370,Not present in Implementation Schedule
,,
Unique Identifer,100,Fully Compliant Oct 12
,,
Use of Recipient Language,0,Fully Compliant Oct 12
,,
Start Date,100,Fully Compliant Oct 12
,,
End Date,100,Fully Compliant Oct 12
,,
Implementing Organisation,18.61,Partially Compliant
,,
Geography,0,Future Publication
,,
CRS Sector,98.7,Not Publishing Now
,,
Commitments,0,Not Publishing Now
,,
Disbursements & Expenditure,100,Partially Compliant
,,
Traceable Income & Disbursements,0,Not present in Implementation Schedule
,,
Activity Documents,100,Partially Compliant
,,
Text of Conditions,0,Not Publishing Now
,,
Results,0,Not Publishing Now
