Signatory Progress Summary,,,
First Signed Up To IATI,October 2011,,
Frequency of Publication,Quarterly,,
First Published Activity Files,October 2011,,
First Published Organisation File,October 2011,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,
,,,
Timeliness of Transaction Data,Quarterly,Quarterly,
,,,
Frequency of Updates,Quarterly,Quarterly,Moving to monthly updates in 2014
,,,
Transaction Alignment with recipient financial year,Monthly,Not present in Implementation Schedule,
,,,
Budget Alignment with recipient financial year,Not Known,Not present in Implementation Schedule,Forward looking budgets are outside of the UNOPS business model as noted in the Implementation Schedule.
,,,
Unique Identifer,100,Fully Compliant Oct 11,
,,,
Use of Recipient Language,0,Not Publishing Now,
,,,
Start Date,100,Fully Compliant Oct 11,
,,,
End Date,100,Fully Compliant Oct 11,
,,,
Implementing Organisation,100,Fully Compliant Oct 11,
,,,
Geography,88,Fully Compliant May 12,Below 100% due to some globally implemented activities which are mapped to office of delivery - no 'global' precision code exists in geocoding methodology.
,,,
CRS Sector,99,Fully Compliant Oct 11,CRS mapping will be streamlined so that it occurs more frequently and captures newer projects.
,,,
Commitments,100,Fully Compliant Oct 11,
,,,
Disbursements & Expenditure,100,Fully Compliant Oct 11,
,,,
Traceable Income & Disbursements,0,Not present in Implementation Schedule,Analysis is underway to add more traceability enhancing data in 2014.
,,,
Activity Documents,100,Fully Compliant Jul 12,
,,,
Text of Conditions,100,Fully Compliant Oct 11,
,,,
Results,0,Future Publication,Pilot planned for 2014 - UNOPS results are at the output level only due to business model.
