Signatory Progress Summary,,,"UNICEF COMMENTS (Jan 31, 2014)"
First Signed Up To IATI,Mar-12,,
Frequency of Publication,Quarterly,,
First Published Activity Files,Jun-13,,
First Published Organisation File,Jun-13,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,
,,,
Timeliness of Transaction Data,Can not calculate,Quarterly,"Annual in 2013, Quarterly starting "
,,,
Frequency of Updates,Annually,Quarterly,"Annual in 2013, Quarterly starting "
,,,
Transaction Alignment with recipient financial year,Annually,Not present in Implementation Schedule,Will apply only for Government Recipients - Future Publication June 14
,,,
Budget Alignment with recipient financial year,>370,Not present in Implementation Schedule,
,,,
Unique Identifer,100,Fully Compliant June 2013,
,,,
Use of Recipient Language,0,Future Publication Jun 14,Default: English. French will be indentified
,,,
Start Date,100,Fully Compliant June 2013,
,,,
End Date,100,Fully Compliant June 2013,
,,,
Implementing Organisation,0,Future Publication Jun 14,
,,,
Geography,0,Future Publication Dec 14,
,,,
CRS Sector,95,Fully Compliant June 2013,
,,,
Commitments,0,Future Publication Apr 14,
,,,
Disbursements & Expenditure,100,Fully Compliant June 2013,
,,,
Traceable Income & Disbursements,0,Not present in Implementation Schedule,Future Publication Dec 14
,,,
Activity Documents,0,Future Publication Dec 14,
,,,
Text of Conditions,0,Future Publication Apr 14,
,,,
Results,0,Future Publication Apr 14,
