Signatory Progress Summary,,,
First Signed Up To IATI,November 2011,,
Frequency of Publication,Annually,,
First Published Activity Files,November 2011,,
First Published Organisation File,November 2011,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,IP vs Actual Comments (WR)
,,,
Timeliness of Transaction Data*,Quarterly,Annually,
,,,
Frequency of Updates,,Annually,
,,,
Activity Forward Planning*,,Not present in Implementation Schedule,
,,,
Transaction Alignment with recipient financial year*,Annually,Not present in Implementation Schedule,
,,,
Budget Alignment with recipient financial year*,annual,Not present in Implementation Schedule,
,,,
Unique Identifer,100,Fully Compliant Nov 11,
,,,
Use of Recipient Language*,0,Partially Compliant Nov 11,
,,,
Start Date,0,Fully Compliant Nov 12,
,,,
End Date,0,Fully Compliant Nov 12,
,,,
Implementing Organisation,0,Fully Compliant Nov 12,
,,,
Geography,53.73,Partially Compliant ,
,,,
CRS Sector,100,Fully Compliant Nov 12,
,,,
Commitments*,99.97,Fully Compliant Nov 12,
,,,
Disbursements & Expenditure*,100,Fully Compliant Nov 11,
,,,
Traceable Income & Disbursements*,100,Not present in Implementation Schedule,
,,,
Activity Documents*,0,Fully Compliant Nov 12,
,,,
Text of Conditions,0,Fully Compliant ,
,,,
Results,1.49,Future Publication,
,,,
,,,
Published Data Cross Checked Against Common Standard Implementation Schedule,,,
Organisation File ,,No Issues Found,
Activity File,,Participating Organisation (extending) stated in IP as Partially compliant but no instances found?,
,,Planned Disbursements Fully Compliant Nov 12 but no instances found,
,,Results Future Publication but some instances present in data,
