Signatory Progress Summary,,,
First Signed Up To IATI,May 2012,,
Frequency of Publication,6-Monthly,,
First Published Activity Files,July 2013,,
First Published Organisation File,July 2013,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,
,,,
Timeliness of Transaction Data,Beyond one year,Annually,
,,,
Frequency of Updates,Monthly,Quarterly Starting in 2015,
,,,
Transaction Alignment with recipient financial year,Annually,Not requested in Implementation Schedule,
,,,
Budget Alignment with recipient financial year,Annual,Not requested in Implementation Schedule,
,,,
Unique Identifer,100,Fully Compliant July 2013,
,,,
Use of Recipient Language,0,Not Publishing Now,
,,,
Start Date,100,Fully Compliant Dec 2013,
,,,
End Date,100,Fully Compliant Dec 2013,
,,,
Implementing Organisation,99,Fully Compliant July 2013,
,,,
Geography,0,Future Publication June 2014,
,,,
CRS Sector,0,Future Publication June 2014,
,,,
Commitments,0,Future Publication June 2014,
,,,
Disbursements & Expenditure,100,Fully Compliant July 2013,
,,,
Traceable Income & Disbursements,0,Not requested in Implementation Schedule,Future Publication June 2014
,,,
Activity Documents,0,Future Publication June 2014,
,,,
Text of Conditions,100,Fully Compliant Dec 2013,
,,,
Results,0,Future Publication June 2014,
