Signatory Progress Summary,,,
First Signed Up To IATI,August 2012,,
Frequency of Publication,Quarterly,,
First Published Activity Files,June 2013,,
First Published Organisation File,Feb 2014,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,
,,,
Timeliness of Transaction Data,Monthly,Quarterly,
,,,
Frequency of Updates,Quarterly,Quarterly,
,,,
Transaction Alignment with recipient financial year,Monthly,Not present in Implementation Schedule,
,,,
Budget Alignment with recipient financial year,Quaterly,Not present in Implementation Schedule,
,,,
Unique Identifer,100,Fully Compliant Jun 13,
,,,
Use of Recipient Language,0,Not Publishing Now,
,,,
Start Date,100,Fully Compliant Jun 13,
,,,
End Date,100,Fully Compliant Jun 13,
,,,
Implementing Organisation,100,Fully Compliant Jun 13,
,,,
Geography,0,Not Publishing Now,
,,,
CRS Sector,97,Fully Compliant Jun 13,
,,,
Commitments,0,Not Applicable,
,,,
Disbursements & Expenditure,98,Fully Compliant Jun 13,
,,,
Traceable Income & Disbursements,0,Not present in Implementation Schedule,Future publication for Incoming Funds only. 
,,,
Activity Documents,0,Future Publication,
,,,
Text of Conditions,0,Not Applicable,No conditions attached
,,,
Results,0,Future Publication,
