Signatory Progress Summary,,
First Signed Up To IATI,November 2011,
Frequency of Publication,Annually,
First Published Activity Files,December 2012,
First Published Organisation File,December 2012,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,Annually,Two months in arrears
,,
Frequency of Updates,,Annually
,,
Transaction Alignment with recipient financial year,Annually,Not present in Implementation Schedule
,,
Budget Alignment with recipient financial year,Not Known,Not present in Implementation Schedule
,,
Unique Identifer,86,Fully Compliant
,,
Use of Recipient Language,0,Unable to Publish
,,
Start Date,86,Fully Compliant Where available
,,
End Date,86,Fully Compliant Where available
,,
Implementing Organisation,11,Fully Compliant
,,
Geography,18,Future Publication
,,
CRS Sector,69,Fully Compliant
,,
Commitments,48,Fully Compliant
,,
Disbursements & Expenditure,75,Fully Compliant
,,
Traceable Income & Disbursements,24,Not present in Implementation Schedule
,,
Activity Documents,0,Not Applicable
,,
Text of Conditions,0,Not Applicable
,,
Results,0,Not Applicable
