Signatory Progress Summary,,,
First Signed Up To IATI,September 2008,,
Frequency of Publication,Six Monthly,,
First Published Activity Files,May 2011,,
First Published Organisation File,May 2011,,
,,,
,,,
Publication of Key Attributes,,,
,,,
Attribute,Period or % of activity,Implementation Schedule Commitment,IP vs Actual Comments (WR)
,,,
Timeliness of Transaction Data*,Annually,Monthly,
,,,
Frequency of Updates,,Six Monthly,
,,,
Activity Forward Planning*,0,Not present in Implementation Schedule,
,,,
Transaction Alignment with recipient financial year*,,Not present in Implementation Schedule,
,,,
Budget Alignment with recipient financial year*,,Not present in Implementation Schedule,
,,,
Unique Identifer,100,Fully Compliant May 11,
,,,
Use of Recipient Language*,0,Partially Compliant May 11,No instances of languages other than English found
,,,
Start Date,100,Fully Compliant May 11,
,,,
End Date,100,Fully Compliant May 11,
,,,
Implementing Organisation,99.9,Fully Compliant May 11,
,,,
Geography,21.24,Fully Compliant Jul 11,
,,,
CRS Sector,99.97,Fully Compliant May 11,
,,,
Commitments*,24.57,Fully Compliant May 11,
,,,
Disbursements & Expenditure*,37.05,Fully Compliant May 11,
,,,
Traceable Income & Disbursements*,100,Not present in Implementation Schedule,
,,,
Activity Documents*,100,Fully Compliant May 11,
,,,
Text of Conditions,0,Fully Compliant May 11,
,,,
Results,0,Fully Compliant May 11,
,,,
,,,
Other Issues,,,
Organisation File ,,No Issues Found,
Activity File,,Other Activity Identifiers stated as Fully Compliant May 13 but no instances found,
,,Activity budge Fully Compliant but no instances found?,
,,Planned Disbursements Fully Compliant but no instances found?,
,,Participating Organisation (Accountable) Fully Compliant but no instances found?,
,,Financial transaction (Disbursement & Expenditure) Fully Compliant but no Disbursements found,
,,results data Fully Compliant but no instances found,
